,CALI,DEPTH,DTC,GR,NPHI,RDEP,RHOB,SP,WELL
21431,19.437999725,500.94607544,159.37872314,66.497596741,,1.8279929161,1.9939975739,24.181526184,15/9-13
21432,19.437999725,501.09848022,159.53013611,65.995796204,,1.8230097294,1.9935952425,24.556699753,15/9-13
21433,19.406000137,501.25088501,159.73683167,65.141822815,,1.8299944401,1.992795229,25.057050705,15/9-13
21434,19.437999725,501.40328979,159.97399902,68.634315491,,1.8260097504,1.9920005798,25.80437851,15/9-13
21435,19.656000137,501.55569458,160.00422668,70.576522827,,1.8330013752,1.9921050072,24.649868011,15/9-13
21436,19.75,501.70809937,159.73391724,73.374687195,,1.8340047598,1.9929043055,24.555999756,15/9-13
21437,20.297000885,501.86050415,159.49682617,73.298614502,,1.8369054794,1.9936000109,24.555549622,15/9-13
21438,21.75,502.01287842,159.46946716,70.442504883,,1.7778220177,1.9936000109,24.275350571,15/9-13
21439,22.797000885,502.1652832,159.49699402,71.378303528,,1.6508220434,1.9936000109,24.525175095,15/9-13
21440,21.75,502.31768799,159.49699402,72.074111938,,1.5237351656,1.9936000109,24.64947319,15/9-13
21441,23.093999863,502.47009277,159.49682617,74.365692139,,1.3348374367,1.9936000109,24.274824142,15/9-13
21442,23.25,502.62249756,159.46946716,72.443321228,,1.2192046642,1.9936006069,24.149648666,15/9-13
21443,23.000001907,502.77490234,159.49682617,73.49155426,,1.3651105165,1.9937000275,23.900650024,15/9-13
21444,23.26599884,502.92730713,159.46946716,71.812065125,,1.4340816736,1.9937000275,24.306400299,15/9-13
21445,23.26599884,503.0796814,159.49699402,71.615989685,,1.4850840569,1.9937000275,24.556131363,15/9-13
21446,23.26599884,503.23208618,159.49699402,69.760215759,,1.5452438593,1.9937000275,24.650350571,15/9-13
21447,23.26599884,503.38449097,159.49682617,71.866294861,,1.718957901,1.9937000275,24.899124146,15/9-13
21448,23.26599884,503.53689575,159.46946716,70.053390503,,1.6889859438,1.9937000275,24.274999619,15/9-13
21449,23.26599884,503.68930054,159.49699402,68.060188293,,1.6789734364,1.9937000275,24.275350571,15/9-13
21450,23.26599884,503.84170532,159.49682617,67.507507324,,1.6600064039,1.9937000275,24.524799347,15/9-13
21451,23.26599884,503.99411011,159.46946716,69.022216797,,1.6639295816,1.9937000275,24.400800705,15/9-13
21452,23.26599884,504.14648438,159.49682617,73.446411133,,1.6200112104,1.9937000275,24.899517059,15/9-13
21453,23.26599884,504.29888916,159.46946716,75.183494568,,1.6279958487,1.9937000275,24.555999756,15/9-13
21454,23.26599884,504.45129395,159.49699402,74.224769592,,1.624984622,1.9937000275,24.556875229,15/9-13
21455,23.26599884,504.60369873,159.49682617,68.976570129,,1.6139733791,1.9937000275,25.181175232,15/9-13
21456,23.26599884,504.75610352,159.46929932,64.123435974,,1.5949743986,1.9937000275,25.307601929,15/9-13
21457,23.26599884,504.9085083,159.46946716,63.821445465,,1.5789903402,1.9937000275,26.303848267,15/9-13
21458,23.26599884,505.06091309,159.49699402,65.501876831,,1.5730015039,1.9937000275,24.963399887,15/9-13
21459,23.26599884,505.21328735,159.49699402,65.87890625,,1.5740070343,1.9937000275,25.213699341,15/9-13
21460,23.26599884,505.36569214,159.49682617,66.690704346,,1.5790041685,1.9937000275,25.712123871,15/9-13
21461,23.26599884,505.51809692,159.46946716,67.258110046,,1.5820000172,1.9937000275,25.088525772,15/9-13
21462,23.26599884,505.67050171,159.49682617,68.927787781,,1.5819790363,1.9937000275,25.46229744,15/9-13
21463,23.26599884,505.82290649,159.46946716,66.825202942,,1.5669647455,1.9937000275,24.962799072,15/9-13
21464,23.26599884,505.97531128,159.49699402,69.248748779,,1.5449758768,1.9937000275,24.838600159,15/9-13
21465,23.26599884,506.12768555,159.49699402,69.005409241,,1.5300140381,1.9937000275,25.211421967,15/9-13
21466,23.26599884,506.28009033,159.49664307,70.128005981,,1.5400140285,1.9937000275,24.088525772,15/9-13
21467,23.26599884,506.43249512,159.43759155,70.755409241,,1.5500055552,1.9937000275,24.463350296,15/9-13
21468,23.26599884,506.5848999,159.46910095,71.870193481,,1.5539929867,1.9937000275,24.712604523,15/9-13
21469,23.26599884,506.73730469,159.43759155,70.862083435,,1.5489776134,1.9937000275,24.43170166,15/9-13
21470,23.26599884,506.88970947,159.46910095,68.177047729,,1.5329807997,1.9937006235,24.929597855,15/9-13
21471,23.26599884,507.04211426,159.43739319,66.017211914,,1.5210000277,1.9938000441,24.056350708,15/9-13
21472,23.26599884,507.19448853,159.43739319,69.435897827,,1.5209902525,1.9938000441,24.274999619,15/9-13
21473,23.26599884,507.34689331,159.43739319,69.003005981,,1.5139776468,1.9938000441,24.274648666,15/9-13
21474,23.26599884,507.4992981,159.43759155,69.614189148,,1.4979832172,1.9938000441,24.025699615,15/9-13
21475,23.26599884,507.65170288,159.46929932,67.381912231,,1.4859746695,1.9938000441,24.524999619,15/9-13
21476,23.26599884,507.80410767,159.46910095,68.813316345,,1.4679706097,1.9938000441,24.524999619,15/9-13
21477,23.26599884,507.95651245,159.43739319,68.885635376,,1.446980834,1.9938000441,24.524799347,15/9-13
21478,23.26599884,508.10891724,159.43759155,71.003440857,,1.4349919558,1.9938000441,24.402002335,15/9-13
21479,23.26599884,508.2612915,159.46910095,71.678092957,,1.4300125837,1.9938000441,25.650350571,15/9-13
21480,23.26599884,508.41369629,159.43739319,69.606376648,,1.4390280247,1.9938000441,25.899517059,15/9-13
21481,23.26599884,508.56610107,159.43739319,65.746101379,,1.4590280056,1.9938000441,25.555999756,15/9-13
21482,23.26599884,508.71850586,159.43742371,64.918388367,,1.4790179729,1.9938000441,25.555549622,15/9-13
21483,23.26599884,508.87091064,159.44166565,60.791439056,,1.4889945984,1.9938000441,25.305267334,15/9-13
21484,23.26599884,509.02331543,159.43739319,47.757846832,,1.4859710932,1.9938000441,24.901126862,15/9-13
21485,23.26599884,509.17572021,159.43739319,47.127841949,,1.4699513912,1.9938000441,25.524999619,15/9-13
21486,23.26599884,509.32809448,159.43739319,46.500751495,,1.4429631233,1.9938000441,25.52519989,15/9-13
21487,23.26599884,509.48049927,159.43759155,46.657501221,,1.4199646711,1.9938000441,25.650249481,15/9-13
21488,23.26599884,509.63290405,159.46929932,46.974258423,,1.3979855776,1.9938000441,25.804197311,15/9-13
21489,23.26599884,509.78530884,159.46910095,48.051582336,,1.3889838457,1.9938000441,24.683477402,15/9-13
21490,23.26599884,509.93771362,159.43739319,45.680770874,,1.3799802065,1.9938000441,26.055774689,15/9-13
21491,23.26599884,510.09011841,159.43739319,44.23317337,,1.3689801693,1.9938000441,25.930831909,15/9-13
21492,23.26599884,510.24252319,159.43739319,42.094936371,,1.3579820395,1.9938000441,25.838167191,15/9-13
21493,23.26599884,510.39489746,159.43722534,44.871868134,,1.3479888439,1.9938000441,25.929798126,15/9-13
21494,23.26599884,510.54730225,159.40969849,46.30884552,,1.3409935236,1.9938000441,25.182601929,15/9-13
21495,23.26599884,510.69970703,159.40988159,49.386547089,,1.3369967937,1.9938000441,26.180950165,15/9-13
21496,23.26599884,510.85211182,159.43739319,50.113052368,,1.3349946737,1.9938000441,26.150054932,15/9-13
21497,23.26599884,511.0045166,159.43739319,48.455036163,,1.3319928646,1.9938000441,26.182126999,15/9-13
21498,23.26599884,511.15692139,159.43739319,45.870811462,,1.3279873133,1.9938000441,26.804872513,15/9-13
21499,23.26599884,511.30929565,159.43739319,44.240276337,,1.3209840059,1.9938006401,26.181350708,15/9-13
21500,23.26599884,511.46170044,159.43722534,43.676368713,,1.3109840155,1.9938999414,26.400600433,15/9-13
21501,23.26599884,511.61410522,159.40969849,43.755813599,,1.3009855747,1.9938999414,26.775800705,15/9-13
21502,23.26599884,511.76651001,159.40988159,44.340312958,,1.2919903994,1.9938999414,27.274398804,15/9-13
21503,23.26599884,511.91891479,159.43739319,44.623497009,,1.2859873772,1.9938999414,26.898872375,15/9-13
21504,23.26599884,512.07128906,159.43742371,47.005664825,,1.2789936066,1.9938999414,26.275850296,15/9-13
21505,23.26599884,512.22369385,159.44166565,47.343521118,,1.2749935389,1.9938999414,26.805999756,15/9-13
21506,23.26599884,512.37609863,159.43739319,45.990116119,,1.270988822,1.9938999414,26.805999756,15/9-13
21507,23.26599884,512.52850342,159.43739319,43.528575897,,1.2639904022,1.9938999414,26.806600571,15/9-13
21508,23.26599884,512.6809082,159.43739319,43.448898315,,1.2579920292,1.9938999414,27.180650711,15/9-13
21509,23.26599884,512.83331299,159.43739319,45.088886261,,1.2529935837,1.9938999414,26.962799072,15/9-13
21510,23.26599884,512.98571777,159.43739319,46.092182159,,1.2489951849,1.9938999414,26.838748932,15/9-13
21511,23.26599884,513.13806152,159.43739319,44.251567841,,1.2460024357,1.9938999414,27.30524826,15/9-13
21512,23.26599884,513.29046631,159.43739319,40.99105835,,1.2480024099,1.9938999414,26.681789398,15/9-13
21513,23.26599884,513.44287109,159.43742371,41.230854034,,1.2500015497,1.9938999414,27.336597443,15/9-13
21514,23.26599884,513.59527588,159.44166565,41.423202515,,1.2510032654,1.9938999414,26.462999344,15/9-13
21515,23.26599884,513.74768066,159.43739319,41.250125885,,1.2530064583,1.9938999414,26.462799072,15/9-13
21516,23.26599884,513.90008545,159.43739319,39.612133026,,1.2569999695,1.9938999414,26.338199615,15/9-13
21517,23.26599884,514.05249023,159.4370575,37.986606598,,1.2569919825,1.9938999414,26.464000702,15/9-13
21518,23.26599884,514.20489502,159.38233948,38.740943909,,1.2519887686,1.9938999414,27.087799072,15/9-13
21519,23.26599884,514.3572998,159.43739319,40.39434433,,1.2449887991,1.9938999414,26.962747574,15/9-13
21520,23.26599884,514.50970459,159.43701172,42.131748199,,1.2379952669,1.9938999414,26.806200027,15/9-13
21521,23.26599884,514.66210938,159.37782288,44.153354645,,1.2350064516,1.9938999414,26.929998398,15/9-13
21522,23.26599884,514.81445313,159.37782288,44.851242065,,1.2390084267,1.9938999414,26.307390213,15/9-13
21523,23.26599884,514.96685791,159.37782288,45.580242157,,1.2460108995,1.9938999414,27.462848663,15/9-13
21524,23.26599884,515.1192627,159.37782288,44.734893799,,1.2550132275,1.9938999414,27.33788681,15/9-13
21525,23.26599884,515.27166748,159.37782288,45.625427246,,1.2660084963,1.9938999414,27.243923187,15/9-13
21526,23.26599884,515.42407227,159.37785339,47.988903046,,1.2730240822,1.9938999414,27.180198669,15/9-13
21527,23.26599884,515.57647705,159.38197327,49.567993164,,1.2880336046,1.9939005375,26.682001114,15/9-13
21528,23.26599884,515.72888184,159.37782288,53.506763458,,1.3090512753,1.993999958,27.306600571,15/9-13
21529,23.26599884,515.88128662,159.37785339,54.705806732,,1.3410415649,1.993999958,27.679649353,15/9-13
21530,23.26599884,516.03369141,159.38197327,55.9049263,,1.3670256138,1.993999958,26.838348389,15/9-13
21531,23.26599884,516.18609619,159.37782288,55.27325058,,1.3830128908,1.993999958,27.056400299,15/9-13
21532,23.26599884,516.33850098,159.37782288,56.364665985,,1.3910080194,1.993999958,27.304748535,15/9-13
21533,23.26599884,516.49090576,159.37782288,57.331001282,,1.3960129023,1.993999958,26.52519989,15/9-13
21534,23.26599884,516.64331055,159.37782288,57.324344635,,1.4040192366,1.993999958,26.649448395,15/9-13
21535,23.25,516.7956543,159.37782288,55.936256409,,1.4160180092,1.993999958,26.306150436,15/9-13
21536,21.483999252,516.94805908,159.37782288,53.736679077,,1.4310215712,1.993999958,26.430511475,15/9-13
21537,21.34400177,517.10046387,159.37782288,54.350780487,,1.4490215778,1.993999958,26.024700165,15/9-13
21538,21.391002655,517.25286865,159.37782288,56.349773407,,1.4670203924,1.993999958,25.775915146,15/9-13
21539,21.797000885,517.40527344,159.37785339,59.413253784,,1.4840131998,1.993999958,26.536249161,15/9-13
21540,21.25,517.55767822,159.38197327,60.285694122,,1.4950032234,1.993999958,25.911399841,15/9-13
21541,20.733999252,517.71008301,159.37782288,58.560199738,,1.4970031977,1.993999958,25.538402557,15/9-13
21542,20.047000885,517.86248779,159.37785339,57.365089417,,1.4990079403,1.993999958,26.4088974,15/9-13
21543,19.733999252,518.01489258,159.38197327,58.625217438,,1.5040335655,1.993999958,24.475700378,15/9-13
21544,19.577999115,518.16729736,159.37782288,58.461616516,,1.5250368118,1.993999958,24.915205002,15/9-13
21545,19.718999863,518.31970215,159.37782288,58.17370224,,1.5480271578,1.993999958,26.912000656,15/9-13
21546,20.141000748,518.47210693,159.37782288,57.915988922,,1.5650272369,1.993999958,26.912200928,15/9-13
21547,20.406000137,518.62451172,159.37782288,60.017707825,,1.5820159912,1.993999958,27.03619957,15/9-13
21548,19.577999115,518.7769165,159.37782288,60.355880737,,1.5920096636,1.993999958,26.537801743,15/9-13
21549,19.827999115,518.92926025,159.37782288,62.633804321,,1.5980085135,1.993999958,27.03730011,15/9-13
21550,19.577999115,519.08166504,159.37782288,64.253707886,,1.6050120592,1.993999958,27.286399841,15/9-13
21551,19.233999252,519.23406982,159.37782288,65.015960693,,1.6150144339,1.993999958,26.78745079,15/9-13
21552,19.108999252,519.38647461,159.37785339,63.745471954,,1.6270120144,1.993999958,27.162752151,15/9-13
21553,19.062999725,519.53887939,159.38197327,59.689849854,,1.6370011568,1.993999958,27.788352966,15/9-13
21554,19.062999725,519.69128418,159.37782288,57.170097351,,1.6379903555,1.993999958,28.912902832,15/9-13
21555,19.0,519.84368896,159.37785339,56.360687256,,1.6319791079,1.9940035343,29.472396851,15/9-13
21556,19.202999115,519.99609375,159.38197327,56.106765747,,1.6189935207,1.9946721792,27.850000381,15/9-13
21557,19.452999115,520.14849854,159.37782288,59.80361557,,1.6149903536,2.006434679,27.849498749,15/9-13
21558,19.656000137,520.30090332,159.37782288,63.464305878,,1.6089919806,1.9790476561,27.536701202,15/9-13
21559,19.625,520.45330811,159.37785339,66.006484985,,1.6039823294,1.9703595638,27.350200653,15/9-13
21560,19.5,520.60571289,159.38197327,64.651695251,,1.5929920673,1.9641339779,27.472396851,15/9-13
21561,19.327999115,520.75811768,159.37782288,63.461471558,,1.5879856348,1.9694923162,25.853704453,15/9-13
21562,19.281000137,520.91052246,159.37782288,66.234107971,,1.5790032148,1.9838551283,28.161901474,15/9-13
21563,19.218999863,521.06286621,159.37782288,67.601242065,,1.5809999704,1.9924259186,28.099924088,15/9-13
21564,19.187999725,521.215271,159.37782288,69.300727844,,1.5810035467,1.9966435432,28.037151337,15/9-13
21565,19.391000748,521.36767578,159.37782288,67.996566772,,1.5840011835,1.9872915745,28.161249161,15/9-13
21566,19.452999115,521.52008057,159.37782288,66.850166321,,1.5850012302,1.9858345985,27.53745079,15/9-13
21567,19.608999252,521.67248535,159.37782288,62.522735596,,1.5860015154,1.9749128819,27.911701202,15/9-13
21568,19.656000137,521.82489014,159.37785339,59.78062439,,1.5870096684,1.9604452848,27.724399567,15/9-13
21569,19.75,521.97729492,159.38197327,60.746711731,,1.5930097103,1.9514378309,27.350500107,15/9-13
21570,19.577999115,522.12969971,159.37782288,62.554481506,,1.5990015268,1.9577925205,27.661399841,15/9-13
21571,19.375,522.28210449,159.37782288,63.265926361,,1.6000015736,1.973167181,27.287502289,15/9-13
21572,19.281000137,522.43450928,159.37748718,61.174655914,,1.60100317,1.9842946529,27.600200653,15/9-13
21573,19.391000748,522.58691406,159.32275391,60.075534821,,1.6029968262,1.9834038019,27.725000381,15/9-13
21574,19.625,522.73931885,159.37744141,61.641853333,,1.6009967327,1.9839454889,27.725500107,15/9-13
21575,19.531000137,522.89172363,159.31820679,62.949226379,,1.5989967585,1.9754859209,28.037302017,15/9-13
21576,19.047000885,523.04406738,159.31820679,62.424942017,,1.5969988108,1.9731137753,28.22590065,15/9-13
21577,19.233999252,523.19647217,159.31820679,63.67086792,,1.5959939957,1.9421497583,28.975601196,15/9-13
21578,19.562999725,523.34887695,159.3182373,66.767120361,,1.5909999609,1.9172104597,29.472070694,15/9-13
21579,19.577999115,523.50128174,159.32237244,70.319007874,,1.5910071135,1.9024156332,27.037527084,15/9-13
21580,19.875,523.65368652,159.3182373,71.556396484,,1.597001195,1.9050894976,27.474098206,15/9-13
21581,19.922000885,523.80609131,159.32237244,70.190704346,,1.5980224609,1.9199011326,26.725700378,15/9-13
21582,18.827999115,523.95849609,159.31820679,70.764122009,,1.6120384932,1.9201264381,27.161800385,15/9-13
21583,18.312999725,524.11090088,159.31820679,73.701217651,,1.6360400915,1.9245984554,27.032794952,15/9-13
21584,17.922000885,524.26330566,159.31820679,76.462036133,,1.6610224247,1.9409636259,24.41500473,15/9-13
21585,17.858999252,524.41571045,159.31820679,81.447914124,,1.6749999523,1.9515528679,26.286600113,15/9-13
21586,18.437999725,524.56811523,159.31820679,83.501205444,,1.6749919653,1.9603456259,26.036600113,15/9-13
21587,17.858999252,524.72052002,159.31820679,83.735359192,,1.6700019836,1.9679199457,25.787500381,15/9-13
21588,17.875,524.8729248,159.31820679,80.937026978,,1.6710159779,1.9710454941,26.035749435,15/9-13
21589,17.702999115,525.02532959,159.31820679,80.756835938,,1.6790380478,1.9780454636,25.413377762,15/9-13
21590,17.577999115,525.17767334,159.31820679,82.073814392,,1.6979758739,1.9695879221,26.099399567,15/9-13
21591,17.391000748,525.33007813,159.31820679,84.315406799,,1.6829758883,1.9675807953,25.725400925,15/9-13
21592,17.218999863,525.48248291,159.3182373,84.806694031,,1.6679823399,1.9644697905,25.975500107,15/9-13
21593,17.218999863,525.6348877,159.32240295,83.473266602,,1.656996727,1.9760630131,26.285900116,15/9-13
21594,17.202999115,525.78729248,159.32237244,77.928390503,,1.6549823284,1.9865300655,25.601301193,15/9-13
21595,17.375,525.93969727,159.31820679,75.928688049,,1.6440032721,1.991533637,26.411800385,15/9-13
21596,17.468999863,526.09210205,159.31820679,74.00390625,,1.6459615231,1.9971011877,26.286600113,15/9-13
21597,17.577999115,526.24450684,159.31820679,74.796180725,,1.621966362,1.9973264933,26.037801743,15/9-13
21598,17.687999725,526.39691162,159.31820679,71.301589966,,1.6009807587,2.0016591549,26.536701202,15/9-13
21599,17.968999863,526.54931641,159.31820679,68.938301086,,1.5889919996,1.9948693514,26.352003098,15/9-13
21600,18.156000137,526.70172119,159.31820679,69.013221741,,1.5839979649,1.9897295237,27.600500107,15/9-13
21601,18.093999863,526.85412598,159.31820679,71.772125244,,1.5830159187,1.9786981344,27.846870422,15/9-13
21602,18.25,527.00653076,159.31820679,75.996421814,,1.5910019875,1.9629057646,26.287000656,15/9-13
21603,18.202999115,527.15893555,159.31820679,75.341308594,,1.5919940472,1.9637986422,26.286249161,15/9-13
21604,18.577999115,527.3112793,159.31820679,80.740692139,,1.5889952183,1.963694334,25.912401199,15/9-13
21605,18.187999725,527.46368408,159.3182373,78.839736938,,1.5859919786,1.9792771339,26.162401199,15/9-13
21606,17.827999115,527.61608887,159.32240295,84.354278564,,1.5809999704,1.9754929543,26.410999298,15/9-13
21607,17.766000748,527.76849365,159.32237244,80.08883667,,1.5810047388,1.9743647575,25.787401199,15/9-13
21608,17.766000748,527.92089844,159.31820679,85.43409729,,1.5839984417,1.968919158,26.036500931,15/9-13
21609,17.672000885,528.07330322,159.31820679,84.640014648,,1.5829839706,1.9719384909,25.72209549,15/9-13
21610,17.562999725,528.22564697,159.31820679,87.722465515,,1.5729891062,1.9779565334,23.91485405,15/9-13
21611,17.577999115,528.37805176,159.31820679,81.497520447,,1.5639843941,1.9873054028,26.286849976,15/9-13
21612,17.75,528.53045654,159.31820679,80.906890869,,1.5509976149,1.9881849289,26.162601471,15/9-13
21613,17.766000748,528.68286133,159.31820679,73.87638092,,1.5489952564,1.9856139421,26.662401199,15/9-13
21614,17.843999863,528.83526611,159.31820679,74.178085327,,1.5460096598,1.9713573456,26.91119957,15/9-13
21615,17.641000748,528.9876709,159.31820679,71.943107605,,1.5520048141,1.9642285109,26.412000656,15/9-13
21616,17.75,529.14007568,159.31820679,72.992492676,,1.5550175905,1.9524276257,26.410598755,15/9-13
21617,17.468999863,529.29248047,159.31820679,71.420280457,,1.5660144091,1.9569940567,25.537801743,15/9-13
21618,17.812999725,529.44488525,159.3182373,67.76171875,,1.5750112534,1.95599401,26.036399841,15/9-13
21619,18.687999725,529.59729004,159.32240295,70.201217651,,1.5820080042,1.9549884796,25.662200928,15/9-13
21620,18.468999863,529.74969482,159.32237244,72.947311401,,1.5869935751,1.953212142,25.787801743,15/9-13
21621,18.608999252,529.90209961,159.31820679,74.846466064,,1.5829902887,1.9551045895,26.287000656,15/9-13
21622,18.625,530.05444336,159.31820679,68.924789429,,1.577001214,1.9557706118,26.289554596,15/9-13
21623,18.922000885,530.20684814,159.31820679,65.936073303,,1.5779902935,1.9508578777,28.412151337,15/9-13
21624,18.968999863,530.35925293,159.31820679,65.513214111,,1.5700036287,1.9438363314,28.536849976,15/9-13
21625,19.141000748,530.51165771,159.31820679,68.497245789,,1.57299757,1.9332567453,28.410348892,15/9-13
21626,17.391000748,530.6640625,159.31820679,67.876930237,,1.5709952116,1.9261420965,27.036249161,15/9-13
21627,17.172000885,530.81646729,159.31820679,68.298126221,,1.5670032501,1.9331691265,26.41270256,15/9-13
21628,17.172000885,530.96887207,159.31785583,64.949417114,,1.5690159798,1.9446270466,26.84980011,15/9-13
21629,17.172000885,531.12127686,159.25860596,67.306694031,,1.5790191889,1.9489474297,26.723798752,15/9-13
21630,17.172000885,531.27368164,159.25860596,66.008110046,,1.5910208225,1.9236831665,25.975601196,15/9-13
21631,17.172000885,531.42608643,159.25863647,67.68019104,,1.604019165,1.9209029675,26.349599838,15/9-13
21632,17.172000885,531.57849121,159.26280212,66.058197021,,1.616027236,1.9216048717,26.100400925,15/9-13
21633,17.172000885,531.730896,159.26277161,65.058494568,,1.6330159903,1.9555590153,26.350000381,15/9-13
21634,17.172000885,531.88330078,159.25860596,64.115692139,,1.643022418,1.9646800756,26.346195221,15/9-13
21635,17.172000885,532.03570557,159.25860596,62.193851471,,1.6570191383,1.9615544081,23.978004456,15/9-13
21636,17.202999115,532.18804932,159.25860596,63.380947113,,1.6690132618,1.9544266462,25.850450516,15/9-13
21637,17.218999863,532.3404541,159.25860596,57.722305298,,1.6800071001,1.9424231052,26.225450516,15/9-13
21638,17.218999863,532.49285889,159.25860596,58.453304291,,1.6860011816,1.962801218,26.600000381,15/9-13
21639,17.093999863,532.64526367,159.25860596,54.92678833,,1.6870000362,1.9631472826,26.599399567,15/9-13
21640,17.0,532.79766846,159.25860596,59.627754211,,1.6870024204,1.987529397,26.100450516,15/9-13
21641,17.077999115,532.95007324,159.25860596,60.251789093,,1.6890079975,1.992421627,26.47480011,15/9-13
21642,17.125,533.10247803,159.25860596,60.662006378,,1.6940128803,1.9959844351,26.350400925,15/9-13
21643,17.218999863,533.25488281,159.25860596,61.883926392,,1.7020064592,1.9934282303,26.600400925,15/9-13
21644,17.297000885,533.4072876,159.25863647,57.336273193,,1.7059999704,1.9981079102,26.850801468,15/9-13
21645,17.297000885,533.55969238,159.26277161,62.160804749,,1.7059999704,1.9994511604,27.350400925,15/9-13
